origin,destination,Year,Month,monthlyTransferMWh
AVA,GCPD,2021,8,28722.0
AVA,GCPD,2021,9,35573.0
AVA,GCPD,2021,10,39764.0
AVA,GCPD,2021,11,33186.0
AVA,GCPD,2021,12,24725.0
AVA,IPCO,2015,7,91001.0
AVA,IPCO,2015,8,98005.0
AVA,IPCO,2015,9,69016.0
AVA,IPCO,2015,10,54978.0
AVA,IPCO,2015,11,84640.0
AVA,IPCO,2015,12,55524.0
AVA,IPCO,2016,1,35592.0
AVA,IPCO,2016,2,42828.0
AVA,IPCO,2016,3,85371.0
AVA,IPCO,2016,4,142541.0
AVA,IPCO,2016,5,156121.0
AVA,IPCO,2016,6,136384.0
AVA,IPCO,2016,7,137761.0
AVA,IPCO,2016,8,100801.0
AVA,IPCO,2016,9,39835.0
AVA,IPCO,2016,10,58737.0
AVA,IPCO,2016,11,108825.0
AVA,IPCO,2016,12,73987.0
AVA,IPCO,2017,1,57240.0
AVA,IPCO,2017,2,24958.0
AVA,IPCO,2017,3,68447.0
AVA,IPCO,2017,4,119370.0
AVA,IPCO,2017,5,131073.0
AVA,IPCO,2017,6,153748.0
AVA,IPCO,2017,7,109774.0
AVA,IPCO,2017,8,86785.0
AVA,IPCO,2017,9,43084.0
AVA,IPCO,2017,10,36724.0
AVA,IPCO,2017,11,35110.0
AVA,IPCO,2017,12,51010.0
AVA,IPCO,2018,1,57147.0
AVA,IPCO,2018,2,83056.0
AVA,IPCO,2018,3,66564.0
AVA,IPCO,2018,4,51734.0
AVA,IPCO,2018,5,142011.0
AVA,IPCO,2018,6,151760.0
AVA,IPCO,2018,7,146089.0
AVA,IPCO,2018,8,89720.0
AVA,IPCO,2018,9,36617.0
AVA,IPCO,2018,10,23300.0
AVA,IPCO,2018,11,20253.0
AVA,IPCO,2018,12,10920.0
AVA,IPCO,2019,1,27389.0
AVA,IPCO,2019,2,2150.0
AVA,IPCO,2019,3,189.0
AVA,IPCO,2019,4,9934.0
AVA,IPCO,2019,5,55636.0
AVA,IPCO,2019,6,65977.0
AVA,IPCO,2019,7,90084.0
AVA,IPCO,2019,8,90814.0
AVA,IPCO,2019,9,21984.0
AVA,IPCO,2019,10,7135.0
AVA,IPCO,2019,11,61084.0
AVA,IPCO,2019,12,32280.0
AVA,IPCO,2020,1,47150.0
AVA,IPCO,2020,2,72433.0
AVA,IPCO,2020,3,26570.0
AVA,IPCO,2020,4,38707.0
AVA,IPCO,2020,5,152672.0
AVA,IPCO,2020,6,145305.0
AVA,IPCO,2020,7,169283.0
AVA,IPCO,2020,8,159276.0
AVA,IPCO,2020,9,44189.0
AVA,IPCO,2020,10,37284.0
AVA,IPCO,2020,11,1939.0
AVA,IPCO,2021,5,32894.0
AVA,IPCO,2021,6,112718.0
AVA,IPCO,2021,7,119096.0
AVA,IPCO,2021,8,57289.0
AVA,IPCO,2021,9,27313.0
AVA,IPCO,2021,10,12353.0
AVA,IPCO,2021,11,44620.0
AVA,NWMT,2015,7,214.0
AVA,NWMT,2015,8,787.0
AVA,NWMT,2015,9,101.0
AVA,NWMT,2015,11,3.0
AVA,NWMT,2015,12,5.0
AVA,NWMT,2016,1,537.0
AVA,NWMT,2016,2,402.0
AVA,NWMT,2016,3,5629.0
AVA,NWMT,2016,4,3138.0
AVA,NWMT,2016,5,7660.0
AVA,NWMT,2016,6,390.0
AVA,NWMT,2016,7,383.0
AVA,NWMT,2016,8,96.0
AVA,NWMT,2016,10,207.0
AVA,NWMT,2016,12,837.0
AVA,NWMT,2017,1,44.0
AVA,NWMT,2017,3,5844.0
