origin,destination,Year,Month,Day,monthlyTransferMWh
CISO,SRP,2018,4,2774,37332
CISO,SRP,2018,5,7149,109233
CISO,SRP,2018,6,4247,92957
CISO,TIDC,2018,1,6474,57230
CISO,TIDC,2018,2,7579,95084
CISO,TIDC,2018,3,6602,78925
CISO,TIDC,2018,4,9117,107154
CISO,TIDC,2018,5,8848,135884
CISO,TIDC,2018,6,7350,124899
CISO,TIDC,2018,7,5033,50878
CISO,TIDC,2018,8,5002,40528
CISO,TIDC,2018,9,7753,101855
CISO,TIDC,2018,10,11843,178835
CISO,TIDC,2018,11,11122,192715
CISO,TIDC,2018,12,10541,121656
CISO,WALC,2018,1,4743,13242
CISO,WALC,2018,2,4115,15186
CISO,WALC,2018,3,2237,23660
CISO,WALC,2018,4,2119,6643
CISO,WALC,2018,5,2748,9632
CISO,WALC,2018,6,2354,6704
CISO,WALC,2018,7,4235,13835
CISO,WALC,2018,8,2393,13372
CISO,WALC,2018,9,1928,5650
CISO,WALC,2018,10,1299,2375
CISO,WALC,2018,11,2500,4074
CISO,WALC,2018,12,1238,3927
CPLE,DUK,2018,1,3663,79885
CPLE,DUK,2018,2,9285,217877
CPLE,DUK,2018,3,690,25607
CPLE,DUK,2018,4,956,27232
CPLE,DUK,2018,5,2756,25188
CPLE,DUK,2018,6,2081,43248
CPLE,DUK,2018,7,4050,67957
CPLE,DUK,2018,8,3422,38274
CPLE,DUK,2018,9,4187,64087
CPLE,DUK,2018,10,5487,130966
CPLE,DUK,2018,11,3193,95397
CPLE,DUK,2018,12,7266,319114
CPLE,PJM,2018,1,12627,568097
CPLE,PJM,2018,2,9587,461720
CPLE,PJM,2018,3,11855,649318
CPLE,PJM,2018,4,11039,424063
CPLE,PJM,2018,5,9940,234129
CPLE,PJM,2018,6,10859,215760
CPLE,PJM,2018,7,12083,349761
CPLE,PJM,2018,8,12061,430398
CPLE,PJM,2018,9,11583,443918
CPLE,PJM,2018,10,12298,330597
CPLE,PJM,2018,11,11969,451700
CPLE,PJM,2018,12,12307,298820
CPLE,SC,2018,1,10123,169135
CPLE,SC,2018,2,9511,185218
CPLE,SC,2018,3,11268,163416
CPLE,SC,2018,4,9798,152893
CPLE,SC,2018,5,11866,198377
CPLE,SC,2018,6,11107,181857
CPLE,SC,2018,7,22475,363951
CPLE,SC,2018,8,21337,326424
CPLE,SC,2018,9,19679,325256
CPLE,SC,2018,10,17123,239045
CPLE,SC,2018,11,13731,110182
CPLE,SC,2018,12,21269,317772
CPLE,SCEG,2018,1,91,306
CPLE,SCEG,2018,2,934,1027
CPLE,SCEG,2018,3,63,17
CPLE,SCEG,2018,4,19,46
CPLE,SCEG,2018,5,287,97
CPLE,SCEG,2018,6,77,46
CPLE,SCEG,2018,7,144,365
CPLE,SCEG,2018,8,279,187
CPLE,SCEG,2018,9,665,1635
CPLE,SCEG,2018,10,417,457
CPLE,SCEG,2018,12,953,1185
CPLE,YAD,2018,1,6350,6675
CPLE,YAD,2018,2,4562,5191
CPLE,YAD,2018,3,4006,4512
CPLE,YAD,2018,4,1216,2604
CPLE,YAD,2018,5,3081,2995
CPLE,YAD,2018,6,7711,8640
CPLE,YAD,2018,7,13440,18770
CPLE,YAD,2018,8,8184,5707
